id,taxpayer_number,taxpayer_name,taxpayer_address,taxpayer_city,taxpayer_state,taxpayer_zip,taxpayer_county,location_number,location_name,location_address,location_city,location_state,location_zip,location_county,tabc_permit_number,responsibility_begin_date,responsibility_end_date,obligation_end_date,liquor_receipts,wine_receipts,beer_receipts,cover_charge_receipts,total_receipts,latitude,longitude,geocoding_confidence,data_quality_score,is_active,last_updated,created_at,full_address,concept_primary,concept_secondary,concept_confidence,concept_source,population_1_mile,drinking_age_1_mile,population_3_mile,drinking_age_3_mile,population_5_mile,drinking_age_5_mile,population_10_mile,drinking_age_10_mile,square_footage,square_footage_source,square_footage_confidence
row-hsta~8g63-pbsx,32044786807,"CLARDY VENTURES II, LLC",1300 FULTON ST STE 301,DENTON,TX,76201,61,1,FUZZYS TACO SHOP,10101 SLIDE RD STE 100,LUBBOCK,TX,79424,152,RM789665,,,,0.0,0.0,0.0,0.0,58100.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"10101 SLIDE RD STE 100, LUBBOCK, TX 79424",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-4uvi.mpbj.v5rr,32045882340,"ROCKY MOUNTAIN LIQUOR, LLC",2625 N JOSEY LN STE 116,CARROLLTON,TX,75007,57,1,FRISCO LAKES GOLF CLUB,7170 ANTHEM DR,FRISCO,TX,75034,61,RM810313,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"7170 ANTHEM DR, FRISCO, TX 75034",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-e4y7-2xzz_2ekb,32005071736,JESUS GUILLERMO RODRIGUEZ,6909 KING ARTHUR,CORPUS CHRISTI,TX,78413,178,10,THE VAULT,424 SCHATZEL ST,CORPUS CHRISTI,TX,78401,178,MB706931,,,,0.0,0.0,0.0,0.0,3723.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"424 SCHATZEL ST, CORPUS CHRISTI, TX 78401",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-xyc3.7urd-uhbw,12005574723,"MCALLEN WINGS, LTD.",8 WHITE ROCK TRL,LUCAS,TX,75002,43,1,HOOTERS,410 EAST FREEWAY 83,MC ALLEN,TX,78503,108,MB713757,,,,0.0,0.0,0.0,0.0,69667.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"410 EAST FREEWAY 83, MC ALLEN, TX 78503",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-pxuz.47rg.mn6z,32030115409,KATHY WILSON,206 TAYLOR ST,GLIDDEN,TX,78943,45,1,THE GOLDEN LEAF,252 CAMP ST,ALLEYTON,TX,78935,45,MB806122,,,,0.0,0.0,0.0,0.0,396.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"252 CAMP ST, ALLEYTON, TX 78935",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-f3b5~3mr8_cuqr,17501013209,ABILENE COUNTRY CLUB,4039 S TREADAWAY BLVD,ABILENE,TX,79602,221,1,ABILENE COUNTRY CLUB,4039 S TREADAWAY BLVD,ABILENE,TX,79602,221,MB99255,,,,0.0,0.0,0.0,0.0,26505.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"4039 S TREADAWAY BLVD, ABILENE, TX 79602",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-bd9f~tt5s.edfj,18609862406,"GVLF 2001, LLC",15279 N SCOTTSDALE RD STE 250,SCOTTSDALE,AZ,85254,0,1,EDDIE V'S EDGEWATER GRILLE,301 E 5TH ST,AUSTIN,TX,78701,227,MB483422,,,,0.0,0.0,0.0,0.0,229582.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"301 E 5TH ST, AUSTIN, TX 78701",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-ca3u_s7gd_5i9z,12631253924,CHAPARRITO'S PRIVATE CLUB INC.,11639 FEATHERBROOK DR,DALLAS,TX,75228,57,1,CHAPARRITO'S RESTAURANT,13531 MONTFORT DR,DALLAS,TX,75240,57,N 711376,,,,0.0,0.0,0.0,0.0,1062.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"13531 MONTFORT DR, DALLAS, TX 75240",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-i8ux~dwim-a7bn,32002353194,"LA FLORECITA MEXICAN RESTAURANT PRIVATE CLUB, INC",700 S COCKRELL HILL RD STE 100,DUNCANVILLE,TX,75137,57,1,LA FLORECITA MEXICAN RESTAURANT,700 S COCKRELL HILL RD STE 100,DUNCANVILLE,TX,75137,57,N 474057,,,,0.0,0.0,0.0,0.0,646.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"700 S COCKRELL HILL RD STE 100, DUNCANVILLE, TX 75137",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-drpk~mhkw~zdyn,11617454282,"DOSEY DOE, INC.",25911 INTERSTATE 45,THE WOODLANDS,TX,77380,170,1,"DOSEY DOE, INC.",25911 INTERSTATE 45 N,THE WOODLANDS,TX,77380,170,MB637894,,,,0.0,0.0,0.0,0.0,4047.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"25911 INTERSTATE 45 N, THE WOODLANDS, TX 77380",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
